 time                    v(in)                   v(out)                 
 1.3179805960692306e-05  8.2716546748432229e-01  5.4308071459596187e-03 
 2.6084817021111996e-05  1.6316296779523489e+00  2.1124845921268239e-02 
 5.1894839141951375e-05  3.2031774917395106e+00  8.2184872857647348e-02 
 8.2096859343971573e-05  4.9325683122880521e+00  2.0076994880348384e-01 
 1.1229887954599177e-04  6.4848662244933202e+00  3.6464638529849080e-01 
 1.4250089974801198e-04  7.8043394199984419e+00  5.6636855800830399e-01 
 1.7270291995003217e-04  8.8436151447168960e+00  7.9717854940891675e-01 
 2.0290494015205235e-04  9.5653805123370095e+00  1.0473191996359221e+00 
 2.3310696035407254e-04  9.9437221406203928e+00  1.3063830740501705e+00 
 2.6330898055609272e-04  9.9650565138287810e+00  1.5636848173905507e+00 
 2.9351100075811291e-04  9.6286176686830132e+00  1.8086435247775587e+00 
 3.2371302096013309e-04  8.9464846945731118e+00  2.0311614002338803e+00 
 3.5391504116215328e-04  7.9431480606854947e+00  2.2219851067109420e+00 
 3.8411706136417346e-04  6.6546303401084730e+00  2.3730368330666933e+00 
 4.1431908156619365e-04  5.1271928993638971e+00  2.4777031907177380e+00 
 4.4452110176821383e-04  3.4156749868043965e+00  2.5310715667521229e+00 
 4.7472312197023402e-04  1.5815248512178670e+00  2.5301054467785362e+00 
 5.0492514217225426e-04 -3.0940642104782501e-01  2.4737524119731864e+00 
 5.3512716237427444e-04 -2.1892291430625370e+00  2.3629809319976167e+00 
 5.6532918257629463e-04 -3.9904524557170218e+00  2.2007446319145449e+00 
 5.9553120277831481e-04 -5.6484074370991388e+00  1.9918753151407294e+00 
 6.2573322298033500e-04 -7.1035688964834485e+00  1.7429085823582353e+00 
 6.5593524318235518e-04 -8.3036924940785681e+00  1.4618483063231953e+00 
 6.8613726338437537e-04 -9.2056904579949457e+00  1.1578784177789265e+00 
 7.1633928358639555e-04 -9.7771785549819672e+00  8.4103234938189719e-01 
 7.4654130378841574e-04 -9.9976387743864787e+00  5.2183200476716318e-01 
 7.7674332399043592e-04 -9.8591559817477794e+00  2.1090921403454413e-01 
 8.0694534419245611e-04 -9.3667020941182422e+00 -8.1376734255251229e-02 
 8.3714736439447629e-04 -8.5379575744258815e+00 -3.4531175359999738e-01 
 8.6734938459649647e-04 -7.4026766537272062e+00 -5.7217643371169313e-01 
 8.9755140479851666e-04 -6.0016190716354139e+00 -7.5455978186452810e-01 
 9.2775342500053684e-04 -4.3850866884107971e+00 -8.8662596787869918e-01 
 9.5795544520255703e-04 -2.6111175084055818e+00 -9.6432449646502838e-01 
 9.8815746540457721e-04 -7.4340195443985868e-01 -9.8553626175209208e-01 
 1.0183594856065974e-03  1.1510037953518193e+00 -9.5015024080774524e-01 
 1.0485615058086176e-03  3.0040853106417171e+00 -8.6006807320263545e-01 
 1.0787635260106378e-03  4.7493118159467684e+00 -7.1913636273817783e-01 
 1.1089655462126580e-03  6.3240248303347553e+00 -5.3300913242047010e-01 
 1.1391675664146781e-03  7.6716877809964927e+00 -3.0894537143855644e-01 
 1.1693695866166983e-03  8.7439158233055956e+00 -5.5548943267673227e-02 
 1.1995716068187185e-03  9.5022129911855675e+00  2.1753980660082398e-01 
 1.2297736270207387e-03  9.9193543092592407e+00  4.9998967069782890e-01 
 1.2599756472227589e-03  9.9803632451137094e+00  7.8114901821164595e-01 
 1.2901776674247791e-03  9.6830494084286851e+00  1.0504277520052978e+00 
 1.3203796876267992e-03  9.0380871920753449e+00  1.2976770702724518e+00 
 1.3505817078288194e-03  8.0686325317517262e+00  1.5135533979206610e+00 
 1.3807837280308396e-03  6.8094915435486865e+00  1.6898534211336698e+00 
 1.4109857482328598e-03  5.3058708876679148e+00  1.8198081960526122e+00 
 1.4411877684348800e-03  3.6117547237066425e+00  1.8983257718803412e+00 
 1.4713897886369002e-03  1.7879665293245715e+00  1.9221736171996047e+00 
 1.5015918088389204e-03 -1.0001463161202184e-01  1.8900942995385606e+00 
 1.5317938290409405e-03 -1.9844049893670321e+00  1.8028502646215598e+00 
 1.5619958492429607e-03 -3.7975496940162481e+00  1.6631961072716768e+00 
 1.5921978694449809e-03 -5.4743518125494273e+00  1.4757793291925880e+00 
 1.6223998896470011e-03 -6.9546094896475896e+00  1.2469731463867728e+00 
 1.6526019098490213e-03 -8.1851773615695720e+00  9.8464734858323910e-01 
 1.6828039300510415e-03 -9.1218746223831921e+00  6.9788543716204132e-01 
 1.7130059502530617e-03 -9.7310712376616593e+00  3.9665819682290426e-01 
 1.7432079704550818e-03 -9.9908953561659928e+00  9.1465420403452291e-02 
 1.7734099906571020e-03 -9.8920185700788963e+00 -2.0704135034874852e-01 
 1.8036120108591222e-03 -9.4379908307659015e+00 -4.8844152365806948e-01 
 1.8338140310611424e-03 -8.6451129956572466e+00 -7.4291985655786519e-01 
 1.8640160512631626e-03 -7.5418515821715530e+00 -9.6161911197103034e-01 
 1.8942180714651828e-03 -6.1678167406417188e+00 -1.1369583129045340e+00 
 1.9244200916672029e-03 -4.5723401398548633e+00 -1.2629051677804759e+00 
 1.9546221118692231e-03 -2.8127038230668369e+00 -1.3351928863028331e+00 
 1.9848241320712433e-03 -9.5208362348202558e-01 -1.3514736017866389e+00 
 2.0150261522732635e-03  9.4271902370281424e-01 -1.3114028918739851e+00 
 2.0452281724752837e-03  2.8036754384407416e+00 -1.2166523633142770e+00 
 2.0754301926773039e-03  4.5639721144767753e+00 -1.0708498491800276e+00 
 2.1056322128793241e-03  6.1604095098746123e+00 -8.7944936579823130e-01 
 2.1358342330813442e-03  7.5356710861821572e+00 -6.4953549849297632e-01 
 2.1660362532833644e-03  8.6403811314250660e+00 -3.8956923941723309e-01 
 2.1962382734853846e-03  9.4348774853651172e+00 -1.0908440277900382e-01 
 2.2264402936874048e-03  9.8906355212603199e+00  1.8165448282937713e-01 
 2.2566423138894250e-03  9.9912922592252400e+00  4.7202052221607360e-01 
 2.2868443340914452e-03  9.7332338426760483e+00  7.5140581661794781e-01 
 2.3170463542934653e-03  9.1257252858235578e+00  1.0096021498227763e+00 
 2.3472483744954855e-03  8.1905778339187201e+00  1.2371673295436039e+00 
 2.3774503946975057e-03  6.9613658789420967e+00  1.4257640312242001e+00 
 2.4076524148995259e-03  5.4822215456399173e+00  1.5684589786981016e+00 
 2.4378544351015461e-03  3.8062502256174735e+00  1.6599717201451629e+00 
 2.4680564553035663e-03  1.9936239462186718e+00  1.6968640674625517e+00 
 2.4982584755055865e-03  1.0942102754675191e-01  1.6776633975194326e+00 
 2.5284604957076066e-03 -1.7787104100579700e+00  1.6029153883106422e+00 
 2.5586625159096268e-03 -3.6029812015095035e+00  1.4751642965116252e+00 
