 time                    v(in)                   v(out)                 
 7.3164875552147744e-05  4.4368686287880035e+00  1.6124334414868516e-01 
 7.5156867544139740e-05  4.5486847992350334e+00  1.6986313865368480e-01 
 7.7148859536131737e-05  4.6597884201041886e+00  1.7868758598324325e-01 
 7.9140851528123734e-05  4.7701620870595693e+00  1.8771484357805263e-01 
 8.1132843520115731e-05  4.8797885101122498e+00  1.9694303802449062e-01 
 8.3124835512107727e-05  4.9886505163287529e+00  2.0637026534626735e-01 
 8.5116827504099724e-05  5.0967310525211795e+00  2.1599459130086376e-01 
 8.7108819496091721e-05  5.2040131879185836e+00  2.2581405168071456e-01 
 8.9100811488083717e-05  5.3104801168191695e+00  2.3582665261908875e-01 
 9.1092803480075714e-05  5.4161151612229039e+00  2.4603037090062010e-01 
 9.3084795472067711e-05  5.5209017734441099e+00  2.5642315427643847e-01 
 9.5076787464059708e-05  5.6248235387036587e+00  2.6700292178385299e-01 
 9.7068779456051704e-05  5.7278641777003356e+00  2.7776756407053665e-01 
 9.9060771448043701e-05  5.8300075491609915e+00  2.8871494372316170e-01 
 1.0105276344003570e-04  5.9312376523690622e+00  2.9984289560043448e-01 
 1.0304475543202769e-04  6.0315386296710729e+00  3.1114922717047760e-01 
 1.0503674742401969e-04  6.1308947689607338e+00  3.2263171885250552e-01 
 1.0702873941601169e-04  6.2292905061402397e+00  3.3428812436274219e-01 
 1.0902073140800368e-04  6.3267104275583730e+00  3.4611617106452408e-01 
 1.1101272339999568e-04  6.4231392724250478e+00  3.5811356032253561e-01 
 1.1300471539198768e-04  6.5185619352019097e+00  3.7027796786112038e-01 
 1.1499670738397967e-04  6.6129634679686058e+00  3.8260704412661284e-01 
 1.1698869937597167e-04  6.7063290827643760e+00  3.9509841465363299e-01 
 1.1898069136796367e-04  6.7986441539045792e+00  4.0774968043528698e-01 
 1.2097268335995566e-04  6.8898942202717972e+00  4.2055841829721569e-01 
 1.2296467535194766e-04  6.9800649875811684e+00  4.3352218127543307e-01 
 1.2495666734393964e-04  7.0691423306195773e+00  4.4663849899789348e-01 
 1.2694865933593163e-04  7.1571122954583641e+00  4.5990487806973074e-01 
 1.2894065132792361e-04  7.2439611016392043e+00  4.7331880246210617e-01 
 1.3093264331991559e-04  7.3296751443328079e+00  4.8687773390460615e-01 
 1.3292463531190758e-04  7.4142409964701166e+00  5.0057911228112706e-01 
 1.3491662730389956e-04  7.4976454108456361e+00  5.1442035602918568e-01 
 1.3690861929589154e-04  7.5798753221926205e+00  5.2839886254259338e-01 
 1.3890061128788353e-04  7.6609178492297323e+00  5.4251200857742921e-01 
